,Provider,Client,Start,End,Hours,Type,Status
1,Provider1,Provider1,1517248800,1517251500,2700,Life Skills,Confirmed (Appt has happened)
2,Provider1,Provider2,1517256000,1517263200,7200,Life Skills,Confirmed (Appt has happened)
3,Provider1,Provider1,1517335200,1517338800,3600,Life Skills,Confirmed (Appt has happened)
4,Provider1,Provider3,1517346000,1517351400,5400,Life Skills,Confirmed (Appt has happened)
5,Provider1,Provider2,1517432400,1517443200,10800,Life Skills,Confirmed (Appt has happened)
6,Provider1,Provider4,1517508000,1517515200,7200,Life Skills,Confirmed (Appt has happened)
7,Provider1,Provider2,1517518800,1517526000,7200,Life Skills,Confirmed (Appt has happened)
8,Provider1,Provider1,1517853600,1517856300,2700,Life Skills,Confirmed (Appt has happened)
9,Provider1,Provider2,1517857200,1517868000,10800,Life Skills,Confirmed (Appt has happened)
10,Provider1,Provider1,1517940000,1517943600,3600,Life Skills,Confirmed (Appt has happened)
11,Provider1,Provider3,1517950800,1517956200,5400,Life Skills,Confirmed (Appt has happened)
12,Provider1,Provider1,1518034500,1518037200,2700,Meeting,Confirmed (Appt has happened)
13,Provider1,Provider2,1518037200,1518048000,10800,Life Skills,Confirmed (Appt has happened)
14,Provider1,Provider4,1518112800,1518120000,7200,Life Skills,Confirmed (Appt has happened)
15,Provider1,Provider2,1518123600,1518130800,7200,Life Skills,Confirmed (Appt has happened)
16,Provider1,Provider1,1518458400,1518461100,2700,Life Skills,Confirmed (Appt has happened)
17,Provider1,Provider2,1518463800,1518472800,9000,Life Skills,Confirmed (Appt has happened)
18,Provider1,Provider1,1518544800,1518548400,3600,Life Skills,Confirmed (Appt has happened)
19,Provider1,Provider3,1518555600,1518561000,5400,Life Skills,Confirmed (Appt has happened)
20,Provider1,Provider2,1518642000,1518652800,10800,Life Skills,Confirmed (Appt has happened)
21,Provider1,Provider4,1518717600,1518724800,7200,Life Skills,Confirmed (Appt has happened)
22,Provider1,Provider2,1518728400,1518735600,7200,Life Skills,Confirmed (Appt has happened)
23,Provider1,Provider1,1519063200,1519065900,2700,Life Skills,Confirmed (Appt has happened)
24,Provider1,Provider2,1519068600,1519077600,9000,Life Skills,Confirmed (Appt has happened)
25,Provider1,Provider1,1519149600,1519153200,3600,Life Skills,Confirmed (Appt has happened)
26,Provider1,Provider3,1519160400,1519165800,5400,Life Skills,Confirmed (Appt has happened)
27,Provider1,Provider1,1519244100,1519246800,2700,Meeting,Confirmed (Appt has happened)
28,Provider1,Provider2,1519246800,1519257600,10800,Life Skills,Confirmed (Appt has happened)
29,Provider1,Provider4,1519322400,1519329600,7200,Life Skills,Confirmed (Appt has happened)
30,Provider1,Provider2,1519333200,1519340400,7200,Life Skills,Confirmed (Appt has happened)
31,Provider1,Provider1,1519668000,1519670700,2700,Life Skills,Confirmed (Appt has happened)
32,Provider1,Provider2,1519673400,1519682400,9000,Life Skills,Confirmed (Appt has happened)
33,Provider1,Provider1,1519754400,1519758000,3600,Life Skills,Confirmed (Appt has happened)
34,Provider1,Provider3,1519765200,1519770600,5400,Life Skills,Confirmed (Appt has happened)
35,Provider1,Provider2,1519851600,1519862400,10800,Life Skills,Confirmed (Appt has happened)
36,Provider1,Provider4,1519927200,1519934400,7200,Life Skills,Confirmed (Appt has happened)
37,Provider1,Provider2,1519938000,1519945200,7200,Life Skills,Confirmed (Appt has happened)
38,Provider2,Provider2,1517265000,1517268600,3600,Meeting with Provider7,Confirmed (Appt has happened)
39,Provider3,Provider5,1517529600,1517533200,3600,Ed. Therapy,Confirmed (Appt has happened)
40,Provider3,Provider5,1518048000,1518051600,3600,Ed. Therapy,Confirmed (Appt has happened)
41,Provider3,Provider5,1519257600,1519261200,3600,Ed. Therapy,Scheduled
42,Provider4,Provider6,1517355000,1517358600,3600,Ed. Therapy,Confirmed (Appt has happened)
43,Provider4,Provider7,1517434200,1517439600,5400,Ed. Therapy,Confirmed (Appt has happened)
44,Provider4,Provider8,1517439600,1517443200,3600,Ed. Therapy,Confirmed (Appt has happened)
45,Provider4,Provider8,1517770800,1517774400,3600,Skype/GotoMeeting Appointment,Confirmed (Appt has happened)
46,Provider4,Provider8,1517884200,1517887800,3600,Skype/GotoMeeting Appointment,Confirmed (Appt has happened)
47,Provider4,Provider6,1517959800,1517963400,3600,Ed. Therapy,Confirmed (Appt has happened)
48,Provider4,Provider7,1518039000,1518044400,5400,Ed. Therapy,Cancelled (w/out 24 hr notice charge)
49,Provider4,Provider8,1518046200,1518049800,3600,Ed. Therapy,Confirmed (Appt has happened)
50,Provider4,Provider6,1518564600,1518568200,3600,Ed. Therapy,Confirmed (Appt has happened)
51,Provider4,Provider7,1518643800,1518649200,5400,Ed. Therapy,Confirmed (Appt has happened)
52,Provider4,Provider8,1518649200,1518652800,3600,Ed. Therapy,Confirmed (Appt has happened)
53,Provider4,Provider8,1519088400,1519092000,3600,Skype/GotoMeeting Appointment,Confirmed (Appt has happened)
54,Provider4,Provider6,1519169400,1519173000,3600,Ed. Therapy,Confirmed (Appt has happened)
55,Provider4,Provider8,1519200000,1519200000,0,Ed. Therapy,
56,Provider4,Provider7,1519248600,1519254000,5400,Ed. Therapy,Confirmed (Appt has happened)
57,Provider5,Provider9,1517355900,1517356800,900,Ed. Therapy,Confirmed (Appt has happened)
58,Provider5,Provider10,1517360400,1517364000,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
59,Provider5,Provider11,1517364900,1517365800,900,Parent Meeting,Confirmed (Appt has happened)
60,Provider5,Provider12,1517365800,1517367600,1800,Parent Meeting,Confirmed (Appt has happened)
61,Provider5,Provider13,1517421600,1517425200,3600,Meeting,Confirmed (Appt has happened)
62,Provider5,Provider12,1517504400,1517511600,7200,Ed. Therapy,Confirmed (Appt has happened)
63,Provider5,Provider14,1517511600,1517515200,3600,Ed. Therapy,Confirmed (Appt has happened)
64,Provider5,Provider12,1517611500,1517616000,4500,Ed. Therapy,Confirmed (Appt has happened)
65,Provider5,Provider12,1517880600,1517882400,1800,Phone Call,Confirmed (Appt has happened)
66,Provider5,Provider10,1517965200,1517968800,3600,Ed. Therapy,Confirmed (Appt has happened)
67,Provider5,Provider13,1518026400,1518040800,14400,Ed. Therapy,Confirmed (Appt has happened)
68,Provider5,Provider14,1518202800,1518206400,3600,Ed. Therapy,Confirmed (Appt has happened)
69,Provider5,Provider12,1518206400,1518210000,3600,Ed. Therapy,Confirmed (Appt has happened)
70,Provider5,Provider15,1518564600,1518568200,3600,Ed. Therapy,Confirmed (Appt has happened)
71,Provider5,Provider10,1518570000,1518573600,3600,Ed. Therapy,Confirmed (Appt has happened)
72,Provider5,Provider13,1518631200,1518645600,14400,Ed. Therapy,Confirmed (Appt has happened)
73,Provider5,Provider16,1518728400,1518730200,1800,Ed. Therapy,Confirmed (Appt has happened)
74,Provider5,Provider11,1518739200,1518742800,3600,Ed. Therapy,Confirmed (Appt has happened)
75,Provider5,Provider14,1518807600,1518811200,3600,Ed. Therapy,Confirmed (Appt has happened)
76,Provider5,Provider12,1518813000,1518816600,3600,Ed. Therapy,Confirmed (Appt has happened)
77,Provider5,Provider12,1519149600,1519153200,3600,Administrative,Confirmed (Appt has happened)
78,Provider5,Provider15,1519169400,1519173000,3600,Ed. Therapy,Confirmed (Appt has happened)
79,Provider5,Provider10,1519174800,1519178400,3600,Ed. Therapy,Confirmed (Appt has happened)
80,Provider5,Provider13,1519236000,1519250400,14400,Ed. Therapy,Confirmed (Appt has happened)
81,Provider5,Provider15,1519774200,1519777800,3600,Ed. Therapy,Confirmed (Appt has happened)
82,Provider5,Provider10,1519779600,1519783200,3600,Ed. Therapy,Confirmed (Appt has happened)
83,Provider5,Provider13,1519840800,1519855200,14400,Ed. Therapy,Confirmed (Appt has happened)
84,Provider5,Provider16,1519938000,1519939800,1800,Ed. Therapy,Confirmed (Appt has happened)
85,Provider6,Provider1,1517251500,1517254200,2700,Ed. Therapy,Confirmed (Appt has happened)
86,Provider6,Provider17,1517254200,1517256000,1800,Administrative,Confirmed (Appt has happened)
87,Provider6,Provider18,1517256000,1517260500,4500,Ed. Therapy,Confirmed (Appt has happened)
88,Provider6,Provider17,1517261400,1517266800,5400,Ed. Therapy,Confirmed (Appt has happened)
89,Provider6,Provider1,1517421600,1517425200,3600,Ed. Therapy,Confirmed (Appt has happened)
90,Provider6,Provider17,1517434200,1517439600,5400,Ed. Therapy,Confirmed (Appt has happened)
91,Provider6,Provider1,1517856300,1517859900,3600,Ed. Therapy,Confirmed (Appt has happened)
92,Provider6,Provider18,1517860800,1517865300,4500,Ed. Therapy,Confirmed (Appt has happened)
93,Provider6,Provider17,1517866200,1517871600,5400,Ed. Therapy,Cancelled (No Charge & rescheduled)
94,Provider6,Provider1,1518026400,1518030000,3600,Ed. Therapy,Confirmed (Appt has happened)
